R%_5;Fechamento_TSI_13:25;K%_14_SMA_3;K%_14
-25.99999999999909;5.208735792267932;-19.66666666666678;22.49999999999943
-27.000000000001023;5.118222016504971;3.6000000000001364;19.40000000000026
-3.999999999999204;5.91583422085742;13.099999999999548;-2.600000000001046
-159.00000000000034;6.625207058582139;55.03333333333321;148.3000000000004
-4.100000000001103;7.614173918996224;84.73333333333339;108.5000000000008
1.0000000000005116;8.529915042626614;117.53333333333369;95.79999999999984
-28.999999999999204;8.70458233226645;76.40000000000005;24.899999999999523
-43.80000000000024;8.245003430700102;38.86666666666656;-4.099999999999682
-23.0000000000004;8.978605155566639;-8.699999999999855;-46.89999999999941
-28.49999999999966;9.5419765351239;-32.46666666666632;-46.39999999999986
-19.40000000000026;10.609499269084564;-45.36666666666633;-42.79999999999973
-33.200000000000784;12.006883003111689;-82.03333333333329;-156.90000000000026
-12.699999999999534;12.849988457953398;-76.76666666666705;-30.60000000000116
-40.799999999998704;13.13686640745589;-68.2666666666672;-17.300000000000182
-76.50000000000006;12.621356190908712;-16.800000000000164;-2.499999999999148
-47.89999999999992;11.81902857900054;-21.39999999999939;-44.39999999999884
-35.09999999999991;14.996775229279594;-27.19999999999961;-34.70000000000084
-13.799999999999102;14.91898818458698;-41.30000000000015;-44.80000000000075
-0.9999999999990904;14.249859715084998;-35.16666666666737;-26.00000000000051
-17.39999999999924;14.259666035955002;-28.70000000000061;-15.30000000000058
-124.80000000000048;15.463000730361784;-18.86666666666675;-15.29999999999916
-112.2;18.814109141571315;-17.83333333333322;-22.89999999999992
46.30000000000081;21.28557058487169;-40.066666666666606;-82.00000000000074
-14.700000000000555;23.635138127200143;-47.200000000000365;-36.70000000000044
-56.49999999999977;25.6766333404088;-42.80000000000067;-9.70000000000084
-91.79999999999922;28.810776434601888;-18.866666666667225;-10.200000000000388
-86.099999999999;24.948819528343847;-21.766666666667334;-45.40000000000077
-13.300000000000978;22.51598670593341;-57.26666666666679;-116.1999999999992
-44.89999999999981;21.07313472200828;-96.66666666666686;-128.4000000000006
-84.60000000000036;20.89385254312612;-130.1333333333332;-145.79999999999984
-50.500000000000966;20.54455700047344;-111.96666666666648;-61.69999999999902
78.49999999999966;20.40444717766486;-119.2666666666663;-150.3
28.10000000000059;21.091474937325312;-107.86666666666632;-111.59999999999997
-40.800000000000125;20.92524088130425;-105.3000000000002;-54.00000000000063
-55.50000000000068;20.676980245319573;-67.2666666666667;-36.19999999999948
-13.19999999999908;18.194826048595843;-30.93333333333372;-2.600000000001046
-30.59999999999974;17.40428657075161;-12.766666666666993;0.4999999999995452
-35.69999999999993;17.30546637613265;1.8333333333326127;7.599999999999341
-55.59999999999974;15.525139732801875;-1.0333333333335304;-11.199999999999475
-20.399999999999352;13.540069051692564;13.900000000000054;45.300000000000296
8.599999999999852;12.549634907680474;-8.999999999999867;-61.10000000000042
-6.099999999999284;13.359670977782605;-22.4333333333334;-51.50000000000006
-22.500000000000853;14.994489844567145;-46.16666666666684;-25.90000000000004
22.40000000000037;20.742100964837643;-29.86666666666669;-12.199999999999989
-11.700000000000443;23.24180403713586;-7.433333333333299;15.800000000000123
-55.10000000000019;23.175774909824906;11.233333333333444;30.1000000000002
-71.89999999999941;23.046119584569585;28.20000000000012;38.700000000000045
-147.79999999999944;22.41487402436356;18.00000000000021;-14.799999999999612
-132.59999999999934;21.0888591104741;-6.13333333333325;-42.30000000000018
33.59999999999985;19.361201472646105;-87.33333333333302;-204.89999999999924
39.70000000000056;18.06632595660839;-136.09999999999994;-161.10000000000042
-43.80000000000024;18.50477816509331;-150.90000000000003;-86.70000000000044
-8.200000000000784;18.30301350294282;-121.66666666666686;-117.1999999999997
4.000000000000625;21.14590573618269;-107.20000000000029;-117.70000000000068
-63.2000000000005;23.490293401940285;-106.49999999999976;-84.59999999999894
-73.89999999999901;25.68937875246609;-77.96666666666663;-31.60000000000025
-75.39999999999907;27.700947469496835;-41.96666666666668;-9.70000000000084
-82.60000000000076;31.077435744000383;8.666666666666364;67.30000000000018
-100.90000000000003;35.53638118211779;34.16666666666638;44.89999999999981
-86.69999999999902;40.43597289859791;27.56666666666661;-29.50000000000017
-41.799999999999216;44.757462648722125;-24.60000000000046;-89.20000000000101
-81.59999999999883;48.09424446868542;-76.43333333333402;-110.60000000000088
-133.5000000000008;49.83004890565212;-111.80000000000044;-135.59999999999943
-143.3000000000007;52.72231428813173;-151.8666666666666;-209.3999999999994
-113.70000000000005;53.63082287325454;-206.3999999999993;-274.199999999999
-52.50000000000057;52.80964326198879;-258.5666666666664;-292.10000000000065
-46.39999999999986;53.806373621537;-299.2;-331.30000000000024
-72.2999999999999;55.41386191852588;-288.866666666667;-243.20000000000024
